examples\test.json: 2 - FORMAT ERROR: must be '\n\t', found ''
examples\test.json: 2 - FORMAT ERROR: must be '\n\t  ', found ''
examples\test.json: 2 - FORMAT ERROR: must be ' ', found ''
examples\test.json: 2 - FORMAT ERROR: must be '\n\t  ', found ''
examples\test.json: 3 - FORMAT ERROR: must be '\t', found '    '
examples\test.json: 4 - FORMAT ERROR: before , must be '', found '\n    '
examples\test.json: 5 - FORMAT ERROR: must be '\t', found '    '
examples\test.json: 7 - FORMAT ERROR: before : must be '', found '\n\n    '
examples\test.json: 9 - FORMAT ERROR: after : must be ' ', found '\n'
examples\test.json: 11 - FORMAT ERROR: must be '\t', found '\n'
examples\test.json: 13 - FORMAT ERROR: must be '\t', found '\n'
examples\test.json: 15 - FORMAT ERROR: must be '\t\n\t', found '\n    '
examples\test.json: 17 - FORMAT ERROR: must be '\t\n\t', found '\n    '
examples\test.json: 19 - FORMAT ERROR: before : must be '', found '\n\n    '
examples\test.json: 21 - FORMAT ERROR: after : must be ' ', found '\n'
examples\test.json: 24 - FORMAT ERROR: must be '\t', found '\n'
examples\test.json: 27 - FORMAT ERROR: must be '\t', found '\n'
examples\test.json: 30 - FORMAT ERROR: must be '\t\n\t\n\t', found '\n\n    '
examples\test.json: 38 - FORMAT ERROR: must be '\t\n\t\n\t', found '\n\n\n\n\n\n\n    '
examples\test.json: 39 - FORMAT ERROR: must be '\t', found ' '
examples\test.json: 40 - FORMAT ERROR: must be '\t', found ' '
examples\test.json: 41 - FORMAT ERROR: must be '\t', found '    '
examples\test.json: 42 - FORMAT ERROR: must be '\t', found '    '
examples\test.json: 44 - FORMAT ERROR: must be '\t\n\t', found '\n    '
examples\test.json: 45 - FORMAT ERROR: must be '\t', found '    '
examples\test.json: 46 - FORMAT ERROR: must be '\t', found '    '
examples\test.json: 47 - FORMAT ERROR: must be '\t', found '    '
examples\test.json: 48 - FORMAT ERROR: must be '\t', found ' '
examples\test.json: 50 - FORMAT ERROR: must be '\t\n\t', found '\n    '
examples\test.json: 51 - FORMAT ERROR: must be '\t', found '    '
examples\test.json: 53 - FORMAT ERROR: must be '\t\n\t', found '\n    '
examples\test.json: 54 - FORMAT ERROR: must be '\t', found '    '
examples\test2.json: 1 - FORMAT ERROR: must be '\n  ', found ''
examples\test2.json: 1 - FORMAT ERROR: after : must be ' ', found ''
examples\test2.json: 1 - FORMAT ERROR: must be '\n\t', found ''
examples\test2.json: 1 - FORMAT ERROR: must be ' ', found ''
examples\test2.json: 1 - FORMAT ERROR: must be '\n\t', found ''
examples\test2.json: 1 - FORMAT ERROR: must be '\n  ', found ''
examples\test2.json: 1 - FORMAT ERROR: must be '\n  ', found ''
examples\test2.json: 1 - FORMAT ERROR: must be '\n\t', found ''
examples\test2.json: 1 - FORMAT ERROR: must be ' ', found ''
examples\test2.json: 1 - FORMAT ERROR: must be '\n  ', found ''
examples\test2.json: 1 - FORMAT ERROR: must be '\n', found ''
examples\test3.json: 18 - SYNTAX ERROR: JSON ended
examples\test3.json: 3 - FORMAT ERROR: must be '\t', found '    '
examples\test3.json: 4 - FORMAT ERROR: must be ' ', found '\n'
examples\test3.json: 11 - FORMAT ERROR: must be '\t\n\t\n\t', found '    \n    \n    \n    \n    \n    \n    '
examples\test3.json: 14 - FORMAT ERROR: must be '\t', found '    '
examples\test3.json: 15 - FORMAT ERROR: must be ' ', found '\n'
examples\test4.json: 6 - FORMAT ERROR: must be '\t\n\t\n\t', found '    \n    \n    \n    '
examples\test4.json: 8 - FORMAT ERROR: must be '\t\n\t', found '    \n    '
examples\test5.json: 1 - FORMAT ERROR: must be '\n  ', found ''
examples\test5.json: 1 - FORMAT ERROR: must be '\n', found ''
